users:
  id=3 | 李白 | level=5 | exp=7736
  id=4 | 村上春树 | level=4 | exp=4500
  id=5 | 张爱玲 | level=6 | exp=15000
  id=6 | 刘慈欣 | level=3 | exp=2200
  id=7 | JK罗琳 | level=4 | exp=5000
  id=8 | test_user_xyz | level=1 | exp=0
  id=9 | test_tcipnl | level=1 | exp=0
  id=10 | AAA | level=1 | exp=0
  id=11 | testuser | level=1 | exp=0
  id=12 | 鲁迅 | level=7 | exp=35000
  id=13 | 金庸 | level=8 | exp=85000
  id=14 | 莫言 | level=5 | exp=9500
  id=15 | 三毛 | level=6 | exp=18000
  id=16 | 余华 | level=4 | exp=5500
  id=17 | 王小波 | level=5 | exp=12000
  id=18 | 迟子建 | level=3 | exp=2800
  id=19 | 苏童 | level=4 | exp=6200
  id=20 | 刘亮程 | level=3 | exp=3100
  id=21 | 阿来 | level=4 | exp=7800
  id=22 | tester_1781503627 | level=1 | exp=0
  id=23 | testapi_1781503921 | level=1 | exp=0
  id=24 | testuser123 | level=1 | exp=0
  id=25 | 墨池书库 | level=10 | exp=500000
  id=26 | newuser | level=1 | exp=0
  id=27 | dupuser | level=1 | exp=0
  id=28 | audituser999 | level=1 | exp=0
  id=29 | TEST | level=1 | exp=0
